brand,owner,ID,NIC,image
Apple Kids,Elbe-Obst Erzeugerorganisation r.V.,1308964,31,No image
Lake Apple,Lindauer Bodensee-Fruchtsäfte GmbH,1300662,"32, 33",No image
Apple Car,"LIN, Jinguo",1286937,"12, 27",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1286937&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE WALLET,Apple Inc.,1283669,9,No image
APPLE NEWS,Apple Inc.,1282110,42,No image
APPLE NEWS,Apple Inc.,1281682,41,No image
APPLE NEWS,Apple Inc.,1280344,9,No image
APPLE PENCIL,Apple Inc.,1274285,9,No image
APPLE MUSIC,Apple Inc.,1265412,45,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1265412&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE MUSIC,Apple Inc.,1271615,42,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1271615&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE MUSIC,Apple Inc.,1283396,"38, 41",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1283396&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE MUSIC,Apple Inc.,1290632,38,No image
APPLE MUSIC,Apple Inc.,1261757,9,No image
Apple O's,Mederer GmbH,1266050,30,No image
DIAMOND APPLE,R.T. DIAMOND TRADING CO PTE. LTD.,1257956,14,No image
DIAMOND APPLE,R.T. DIAMOND TRADING CO PTE LTD,1252357,14,No image
APPLE PAY,Apple Inc.,1247825,9,No image
APPLE PAY,Apple Inc.,1247502,36,No image
green apple,TM NETWORK LIMITED,1234916,"6, 8, 16, 17, 19, 20, 21, 22, 25",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1234916&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE SWIFT,Apple Inc.,1245926,9,No image
APPLE WATCH,Apple Inc.,1241169,"9, 28",No image
APPLE WATCH,Apple Inc.,1229975,14,No image
APPLE WATCH,Apple Inc.,1228980,10,No image
APPLE CARPLAY,Apple Inc.,1227425,9,No image
APPLE CONFIGURATOR,Apple Inc.,1134756,9,No image
APPLE JACK,"Zakrytoe Aktsionernoe Obshchestvo ""Minsky Zavod Vinogradnykh Vin...",1015030,"32, 33, 41",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1015030&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
BLACK APPLE,IDC Int. Design + Collections GmbH,994279,"3, 18, 25",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0994279&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE STORE,Apple Inc.,973841,"37, 41, 42",No image
APPLE BEE,Double You Meubelcollectie B.V.,958229,"18, 20, 21",No image
LOVE APPLE,"LE CHÂTEAU DE MA MERE, société anonyme",951042,43,No image
RED APPLE,KIRMIZI ELMA TEKSTİL AYAKKABI TURİZM İNŞAAT SANAYİ VE TİCARET Lİ...,933248,"18, 25",No image
APPLE TV,Apple Inc.,928475,9,No image
APPLE STORE,Apple Inc.,883222,35,No image
RED APPLE,RED APPLE FURNITURE (FOGANG) COMPANY LIMITED,847559,20,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0847559&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
BIG APPLE,Apollinaris Brands GmbH,730478,32,No image
Spiced Apple,Berentzen-Gruppe AG,673751,"30, 32, 33",No image
ÄPPLE MINIS,Société des Produits Nestlé S.A.,666854,30,No image
APPLE MINIS,Société des Produits Nestlé S.A.,666853,30,No image
GREEN APPLE,"Juice Beauty, Inc.",1244362,3,No image
apple Snapz,Snapz Foods AG,849189,29,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0849189&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE MUSIC ATLAS,Apple Inc.,1813088,42,No image
APPLE PENCIL PRO,Apple Inc.,1797881,9,No image
Apple of Eden,ShoeShooting GmbH,1796431,"18, 24, 25",No image
AOMORI APPLE PORK,"LOCO-SIKI Co., Ltd.",1775497,"29, 30, 35",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1775497&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE MUSIC CLASSICAL,Apple Inc.,1753405,9,No image
APPLE VISION PRO,Apple Inc.,1760861,18,No image
APPLE VISION PRO,Apple Inc.,1748095,28,No image
BLUE APPLE TAROT,YLL LLC,1756273,16,No image
APPLE MUSIC CLASSICAL,Apple Inc.,1762592,41,No image
APPLE MUSIC SESSIONS,Apple Inc.,1743027,41,No image
APPLE VISION PRO,Apple Inc.,1742622,9,No image
APPLE IMMERSIVE VIDEO,Apple Inc.,1747040,42,No image
APPLE IMMERSIVE VIDEO,Apple Inc.,1743545,9,No image
APPLE R1,Apple Inc.,1739530,9,No image
APPLE BUSINESS CONNECT,Apple Inc.,1756668,35,No image
APPLE BUSINESS ESSENTIALS,Apple Inc.,1724938,"9, 35, 37, 41, 42",No image
APPLE WATCH ULTRA,Apple Inc.,1692743,9,No image
APPLE WATCH ULTRA,Apple Inc.,1690423,14,No image
APPLE MUSIC VOICE,Apple Inc.,1701070,41,No image
AN APPLE ORIGINAL,Apple Inc.,1694179,9,No image
AN APPLE ORIGINAL,Apple Inc.,1686765,41,No image
APPLE MUSIC PATHWAY,APPLE INC.,1695276,"35, 36, 42",No image
HUNNYZ THE APPLE,"GEE WHIZ II, LLC",1667861,31,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1667861&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE STUDIO DISPLAY,Apple Inc.,1654352,9,No image
Apple Digital Master,Apple Inc.,1659076,9,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1659076&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
Apple Digital Master,Apple Inc.,1659072,41,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1659072&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
CANDY APPLE CRISP,Energy Beverages LLC,1644610,"5, 32",No image
APPLE M1,Apple Inc.,1629997,9,No image
PINK APPLE PUNCH,"Bath & Body Works Brand Management, Inc.",1613657,"3, 4",No image
CALVAD Apple Distillate,"LIMITED LIABILITY COMPANY, «ECO FARM EDEM» (ECO FARM EDEM LLC)",1615589,"33, 35, 43",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1615589&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE FIND MY,Apple Inc.,1610449,9,No image
APPLE FIND MY,Apple Inc.,1608942,42,No image
APPLE WATCH SE,APPLE INC.,1583196,9,No image
APPLE GIFT CARD,Apple Inc.,1600497,"9, 16",No image
Newton's Apple Chips,LIMITED LIABILITY COMPANY GNP FRUITS (LLC GNP FRUITS),1583732,"29, 35",No image
Apple Watch Connected,Apple Inc.,1604155,"9, 41, 42, 44",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1604155&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
autumn glory apple,"Domex Superfresh Growers, LLC",1563587,31,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1563587&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE NEWS TODAY,Apple Inc.,1561584,38,No image
APPLE NEWS TODAY,Apple Inc.,1578857,41,No image
APPLE NEWS TODAY,Apple Inc.,1563312,9,No image
Apple Music 1,Apple Inc.,1579910,41,No image
APPLE WATCH STUDIO,Apple Inc.,1563753,"35, 42",No image
APPLE TRADE IN,Apple Inc.,1515204,40,No image
APPLE TRADE IN,Apple Inc.,1493982,35,No image
JAZZ APPLE JUNIORS,Venturefruit Global Limited,1495890,"29, 31, 32",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1495890&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
JAZZ APPLE SNACKERS,Venturefruit Global Limited,1501825,31,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1501825&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
reds APPLE EJUICE,7 DAZE LLC,1495317,34,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1495317&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
REDS APPLE EJUICE,"7D Holdings, LLC",1480870,34,No image
APPLE SEARCH ADS,Apple Inc.,1480623,35,No image
APPLE BUSINESS CHAT,Apple Inc.,1450228,"9, 38, 42",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1450228&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
Apple Ch!ps,ThreeWorks Inc.,1416276,29,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1416276&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
TODAY AT APPLE,Apple Inc.,1404654,42,No image
TODAY AT APPLE,Apple Inc.,1373425,35,No image
TODAY AT APPLE,Apple Inc.,1373424,41,No image
THE APPLE PRESS,The Apple Press Limited,1370059,32,No image
Apple of Eden,ShoeShooting GmbH,1336114,25,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1336114&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE MAGIC KEYBOARD,Apple Inc.,1306783,9,No image
APPLE SMART CONNECTOR,Apple Inc.,1294728,9,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1294728&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
Bisfino Apple & Cinnamon,LION DOO,1299779,30,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1299779&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE MUSIC CONNECT,Apple Inc.,1291586,"41, 45",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1291586&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE NEWS PUBLISHER,Apple Inc.,1281680,42,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1281680&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE NEWS FORMAT,Apple Inc.,1280343,9,No image
STRONGBOW APPLE CIDERS,Heineken Brouwerijen B.V.,1263142,"32, 33",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1263142&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
THE APPLE THIEF,Cider Productions Pty Ltd,1208522,"32, 33",No image
WALKER APPLE CIDER,WÓKER-TRADE Kft.,1107815,33,No image
XANTÉ HOT APPLE,Anora Sweden AB,1080052,33,No image
Bon aPPLe TITe,CIDRERIES DU CALVADOS-LA FERMIERE,660761,32,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0660761&TYPE=jpg&qi=0-uX/oW9dATz4RPI9YR8SBvuFol00pafGGm1uuuSj8Bx0=
APPLE CIDERS STRONGBOW GOLD 1887 STRONGBOW APPLE CIDERS,Heineken Brouwerijen B.V.,1222055,33,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1222055&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Gold Apple beauty store,"""Crystal Management company"" LLC",1829434,35,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1829434&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
WANG ZHANG GUI APPLE,Wang Cunbao,1823910,31,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1823910&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
tic tac APPLE SOUR,Ferrero S.p.A.,1783378,30,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1783378&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
ELLIS BROOKLYN APPLE LOVE,Ellis Brooklyn Inc.,1751758,3,No image
Works with Apple Home,Apple Inc.,1717960,"9, 11",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1717960&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
APPLE MESSSAGES FOR BUSINESS,Apple Inc.,1683148,"38, 42",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1683148&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
APPLE SELF SERVICE REPAIR,Apple Inc.,1668025,35,No image
Apple of my Eye,SOCIETE PARISIENNE DE PARFUMS ET COSMETIQUES,1653005,"3, 4, 18",No image
JACK DANIEL'S TENNESSEE APPLE,"Jack Daniel's Properties, Inc.",1591115,33,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1591115&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
APPLE BRANDY BY KILIAN,ELCO,1577125,3,No image
THE ULTIMATE APPLE EXPERIENCE,Venturefruit Global Limited,1563833,31,No image
THE GOOD CIDER Apple,ENVASADOS EVA S.A.,1539935,33,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1539935&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
frostkrone APPLE LOVE BALLS,frostkrone Tiefkühlkost GmbH,1518401,"29, 30",No image
APPLE PRO DISPLAY XDR,Apple Inc.,1501182,9,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1501182&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
APPLE MUSIC FOR BUSINESS,Apple Inc.,1445691,"38, 41",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1445691&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Pen Pineapple Apple Pen,Avex Inc.,1471041,"3, 9, 14, 16, 18, 20, 21, 24, 25, 26, 28, 30, 32, 41, 43",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1471041&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Works with Apple Health,Apple Inc.,1452932,"38, 42, 44",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1452932&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Works with Apple Health,Apple Inc.,1435800,9,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1435800&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Connects to Apple Watch,Apple Inc.,1407439,"9, 10, 28",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1407439&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Connect to Apple Watch,Apple Inc.,1393311,"9, 10, 28",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1393311&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
APPLE TV 4K,Apple Inc.,1391122,9,No image
Listen on Apple Podcasts,Apple Inc.,1414659,"41, 42",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1414659&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Works with Apple HomeKit,Apple Inc.,1390167,"7, 9, 11, 42",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1390167&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
GREEN APPLE HOME STYLE,Green Apple International Trading,1378289,20,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1378289&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Royal apple PURE PREMIUM,ACTIV SP. Z O.O.,1388936,32,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1388936&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Add to Apple Wallet,Apple Inc.,1304559,9,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1304559&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Works with Apple iBeacon,Apple Inc.,1321208,9,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1321208&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Works with Apple AirPrint,Apple Inc.,1310007,9,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1310007&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Made for Apple Watch,Apple Inc.,1302479,"9, 10, 14",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1302479&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Works with Apple HomeKit,Apple Inc.,1282441,"9, 11",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1282441&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
MOASSEL SALLOUM Apple Flavour,Eastern Company S.A.E.,1270834,34,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1270834&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Works with Apple CarPlay,Apple Inc.,1256745,9,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1256745&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
